,ra_j2000,dec_j2000,primary_name,gaiaedr3_source_id,hip,hd,tic,parallax,pmra,pmdec,gmag,bp_rp,radial_velocity,spectrum_harps_1d,spectrum_harps_2d,spectrum_sophie_1d,spectrum_sophie_2d,Teff(K),Teff_err(K),logg,logg_err,Fe/H,Fe/H_err,alpha,alpha_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,Notes,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,Bmag,e_Bmag,Vmag,e_Vmag,Mass,Mass-err,Mass+err,Radius,Radius-err,Radius+err,Age,Age-err,Age+err,MIST logg,MIST logg-err,MIST logg+err,Density,Density-err,density+err,MIST Teff,MIST Teff-err,MIST Teff+err,logLuminosity,logLuminosity-err,logLuminosity+err,deltanu,deltanu-err,deltanu+err,numax,numax-err,numax+err,Unnamed: 75,Unnamed: 76,Unnamed: 77,ra,dec,season_length,airmass_min,airmass_mean,tyr_rise,tyr_set,eff_nights,eff_airmass_mean,eff_seeing,nb_subexp,snr_550,snr_550_texp15,sig_rv_texp15,texp_snr_250,sig_rv_osc_texp15,sig_rv_osc+gr_texp15,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,HZ_mp_min_texp15,HZ_mp_min_osc_texp15,HZ_mp_min_osc+gr_texp15
301,225.14581,8.600174,HD132756,1.16e+18,73449.0,132756,368894360,26.2551,-108.221,-318.728,7.085588,0.864753,,,,True,True,5561.06413241452,120.226975805009,4.26728222758521,0.113978191373469,-0.2885,0.500553453452589,0.111312499547157,0.0,50.0,0.0,3.77,0.0,16.7695200507773,0.617774715984042,SB,5.56,0.162,5.436,0.043,5.607,0.015,5.952,0.02,5.651,0.049,5.537,0.027,7.967,0.024,7.26,0.03,1.00783330581074,-0.0555862490746927,0.0662934819678604,1.32097597486286,-0.0126356579035263,0.0136312476695417,9.95606461628684,-0.108916235134867,0.0805425880498518,4.19965797931564,-0.0291379116367931,0.0322280526764018,0.617248630038879,-0.0443961734899824,0.0514152190660492,5777.15474204346,-81.6345836137189,81.4918256666087,0.242940072145431,-0.0181060063135747,0.0177669846119012,95.4311011653972,-3.08865415450036,3.44289545313254,1791.60826547888,-3.08865415450036,3.44289545313254,,,,15.009720666666668,8.600174,274,1.065959500223492,1.1215687499768443,2025.9704005671747,2026.6743461568503,206.88279825821888,1.1207190967284248,0.9545912394178536,1.0,308.0,308.0,0.2245,13.514061940433384,0.250056438835142,0.4314214050614131,373.06531187887157,813.1422084169923,0.06809000394760349,0.08828303151116763,5.346508294888047,5.9551395297205,10.274379157029404
302,234.49672,10.239878,HD139457,1.17e+18,76543.0,139457,323138830,21.1307,129.657,-358.767,6.956505,0.709364,37.29,,,True,True,5788.39869937213,106.641645163826,3.6324165306456,0.128559506776441,-0.348,0.154106419557242,0.139479779950132,0.0,0.590002795844012,0.0355291697071724,4.91,0.0,0.0,0.0,,5.647,0.1,5.498,0.028,5.671,0.015,6.046,0.032,5.769,0.027,5.699,0.016,7.614,0.063,7.107,0.004,1.01303695084441,-0.0499707097337214,0.0522241755095549,1.56895528895646,-0.0142161395381528,0.0147516581488236,9.9132149229225,-0.0719412536584692,0.057461715037519,4.05193017138617,-0.0255128335573263,0.0279810712516708,0.369240064080498,-0.0231950665126156,0.027665459974358,5934.67548049118,-92.5653941601722,89.2417799537079,0.439436507937092,-0.0223934959066006,0.0204445142092971,74.4520065674476,-2.14811189405466,2.38026599415809,1258.68339676142,-2.14811189405466,2.38026599415809,,,,15.633114666666668,10.239878,282,1.0551146517900925,1.114914669451594,2025.9934270213112,2026.7171095716749,214.10195198050133,1.1096831314110474,0.9335099197348128,1.0,328.0,328.0,0.2242,13.095568045679592,2.764156349832893,3.4938024490198343,373.06531187887157,813.1422084169923,0.06809000394760349,0.08828303151116763,5.248574732623036,64.70955028881554,81.7907370860927
303,233.18188,10.968299,HD138573,1.17e+18,76114.0,138573,393055414,33.1373,-5.88,158.609,7.072254,0.818315,-35.67,True,True,True,True,5450.84919144966,135.835190442681,3.87054549769319,0.221472443679975,-0.0045263253535729,0.0176608937553638,,,0.882704459704146,0.287339703617917,,,,,,5.637,0.122,5.534,0.028,5.68,0.014,6.027,0.021,5.742,0.026,5.662,0.017,7.894,0.023,7.232,0.023,0.981319011417414,-0.0309280083765472,0.0339611377431539,1.0111360108632,-0.0102182563135564,0.0096013100282377,9.72522398608176,-0.20561254079176,0.144155370647946,4.42026603012517,-0.0218520886781954,0.0222206314145135,1.33928527354231,-0.0763753408487768,0.0841898588332792,5773.80021660388,-80.7162919018665,88.2514066607619,0.0098249220984002,-0.0176573305138123,0.0192912758104372,138.558266023108,-3.65227108972252,3.87499697878698,2978.98877246117,-3.65227108972252,3.87499697878698,,,,15.545458666666663,10.968299,282,1.050733750418866,1.110929161734315,2025.9868480344148,2026.713820078227,214.58744251666195,1.1070582470452697,0.9339881354176826,1.0,318.0,318.0,0.1705,13.299879414973288,0.5553046227790992,1.0340453782069248,330.01630093284297,738.4192139409389,0.07174110530427923,0.09383335880491543,3.784021695747648,12.324250676510701,22.949267715674985
304,226.88669,9.225064,HD134066B,1.17e+18,,134066B,1100298261,30.4069,-190.526,30.387,7.378373,0.841785,-35.25,,,,,,,,,,,,,,,,,,,,5.091,0.132,4.739,0.079,5.088,0.014,5.964,0.034,5.619,0.034,5.515,0.044,0.0,0.0,7.512,0.046,0.555343426986326,-0.12073646874433,0.149887460265881,1.526539724748,-0.0237973441298265,0.0291197262513418,5.86415333114943,-0.148462450194141,0.164968926802051,3.81609232149957,-0.121906356104457,0.111544075947267,0.221371375276122,-0.0574071584849042,0.0717538383410783,4992.12400166924,-163.220738291192,130.198361238166,0.11466170621115,-0.0434210136187201,0.0323439317039917,54.5679858861601,-7.60981229852708,8.47777307353437,796.521176205319,-7.60981229852708,8.47777307353437,,,,15.125779333333332,9.225064,276,1.061723059414175,1.1188039918579948,2025.9736900606229,2026.6842146371944,208.78298873697256,1.117140453298357,0.949850104859888,,,,,,,,59.64869570156685,146.01808978591288,0.17882388999610677,0.24100577073860394,,,
305,226.88727,9.226034,HD134066A,1.17e+18,74016.0,134066A,449902389,30.4295,-194.816,22.916,7.188706,0.806931,-34.26,,,,,5855.89136955375,201.944717758385,4.62431974069482,0.277111860715575,0.0608024041756518,0.0746221160816798,0.0,0.0,1.07,0.04,4.49,0.0,6.53910931879063,0.979677709234159,,,,,,,,5.847,0.046,5.578,0.045,5.492,0.034,7.925,0.027,7.278,0.002,1.07142268877473,-0.0621815849174203,0.0566352326743222,1.18889371530146,-0.0274624432798494,0.0296387003842744,9.71298054141395,-0.313231264087094,0.190294049378132,4.31727588412072,-0.0386366810747472,0.0412064802806142,0.897512774408306,-0.0929878230024083,0.112757938971622,5938.26149558133,-155.839368688777,175.823885842025,0.199114026258845,-0.037795256899277,0.0438530122528481,113.772553938078,-5.54104350287803,6.17118671227833,2313.78151181866,-5.54104350287803,6.17118671227833,,,,15.125818,9.226034,276,1.061716696192456,1.1187962264833673,2025.9736900606229,2026.6842146371944,208.78298873697256,1.1171323810002989,0.9498462371761616,1.0,297.0,297.0,0.1921,13.762047064079509,0.1957893760683431,0.2607268779569237,470.6046035129048,965.6975785396675,0.06187048839120204,0.07862220168116278,5.011822890407809,5.108077442363274,6.802274518943641
306,227.08575,10.113885,HD134228,1.17e+18,,134228,449904735,20.0684,-57.587,-20.669,7.23868,0.703438,4.33,,,,,6067.58594630306,139.107298447683,4.26082213142613,0.0,0.1385,0.0781772643798625,0.0,0.0,1.36997399167009,0.0281959617007313,5.54,0.0,11.6645879912362,0.756966659976729,SB,6.094,0.089,5.993,0.033,6.073,0.016,6.385,0.024,6.11,0.029,6.056,0.033,7.922,0.029,7.38,0.002,1.19207914873192,-0.0369793375649154,0.0407247548481156,1.34559350829632,-0.0170378266525559,0.015819899963436,9.5468256468879,-0.156620169393426,0.106743548200955,4.25738011536648,-0.0207587792884674,0.0244656033201212,0.70014199111787,-0.0391233780368329,0.0541640872785461,6115.969970223,-106.060984282414,122.762024384506,0.356304176133521,-0.0225793129365484,0.0240769601969005,100.030628625111,-2.4852597219014,3.06045921386477,1997.67731656206,-2.4852597219014,3.06045921386477,,,,15.139049999999996,10.113885,277,1.0560092408211936,1.1138357823711649,2025.9736900606229,2026.6875041306423,209.61833280203345,1.11181040046775,0.9463380021277766,1.0,289.0,289.0,0.2084,13.951224971331085,0.2687015385386739,0.5769628167941385,661.4281100979904,1280.6472883386352,0.05246205412554047,0.06538742775965727,6.399370309988582,8.251058771461816,17.716884451822416
307,229.6746,10.427743,HD136160A,1.17e+18,74930.0,136160A,366510795,20.736,-69.732,-13.269,7.020629,0.648041,-36.7,,,,,5953.32513902157,389.819626776459,3.86426884894152,0.859719868718639,-0.250402418779001,0.225376655565778,0.1001609675116,0.0,1.48229310745255,0.256750765435856,5.47,0.0,24.6315201362002,2.77120959551457,High vsini,,,,,,,6.179,0.018,5.946,0.027,5.882,0.016,7.627,0.025,7.145,0.023,1.20099612442747,-0.0901646051505807,0.0328829941560642,1.40398333487518,-0.0227126601397265,0.0227805608841403,9.49576576719582,-0.271282045604597,0.190082495178768,4.22521587846214,-0.0438151468008208,0.0393243699653532,0.625705448720027,-0.0678316977088572,0.0649881792352022,6378.90133712367,-187.103586140918,226.310102355283,0.464550203866163,-0.0408843791602308,0.0541988777770024,93.7745824301597,-4.28916941904305,3.48206751608983,1817.46650761096,-4.28916941904305,3.48206751608983,,,,15.31164,10.427743,279,1.054020693426034,1.1130384481001183,2025.980269047519,2026.6973726109863,211.65748085835875,1.1099232961452536,0.9412838846846376,1.0,316.0,316.0,0.2492,13.341901255590376,0.94969740957688,1.6202635182098208,677.6671369706852,1307.3752574677194,0.05181221897303513,0.06450006283410756,7.710783051368925,29.385676924937314,50.13443208251874
308,222.75964,9.72367,HD131023,1.17e+18,72634.0,131023,349674635,33.2917,-216.196,56.34,7.335746,0.88791,-36.09,,,,,5667.68364905603,118.293716659075,4.55782976890214,0.14381347490727,0.207,0.11946199701002,0.0,0.0,1.23686775662817,0.0621487705477225,3.57,0.0,4.28305121834133,0.765261422419319,,5.85,0.356,5.783,0.085,5.872,0.016,6.281,0.035,5.916,0.038,5.821,0.024,8.099,0.0,7.4,0.03,0.999893980842385,-0.0351851177130631,0.024963403580573,0.927718722818343,-0.0076729196401906,0.0086396474320512,9.2665734889879,-0.531924956802666,0.329029921275252,4.5038063530246,-0.0198777330283155,0.0131994495312409,1.77291711507777,-0.0931881960677887,0.0622612066995785,5632.1488508478,-74.5892216247803,70.1667705177142,-0.108526336186801,-0.0173352741283913,0.0172501804335825,158.53916478077,-3.94791452975198,2.61206312464344,3654.04778786839,-3.94791452975198,2.61206312464344,,,,14.850642666666666,9.72367,274,1.058513754155054,1.1152097995195611,2025.9638215802788,2026.6677671699545,206.1997238830185,1.1142078039505667,0.955732098952396,1.0,277.0,277.0,0.2061,14.250213754809495,0.2096875172320275,0.2735868583880114,357.2449270932882,788.1094082093332,0.06926134796105053,0.09016356741471616,4.833285644015119,4.917417111920093,6.415931271411803
309,221.4866,10.052007,HD130087,1.17e+18,72190.0,130087,366362698,17.7948,-95.784,-26.227,7.387861,0.746458,-15.64,,,True,True,5982.13831913178,104.218063213092,3.98937706040401,0.103337055605111,0.272,0.116110208322897,0.0,0.0,1.16001845084364,0.0513691751609543,4.99,0.0,0.0,0.0,,6.15,0.114,6.043,0.04,6.16,0.016,6.434,0.019,6.228,0.029,6.132,0.017,8.127,0.026,7.52,0.03,1.25915950128888,-0.0306372016985643,0.0361636972836572,1.46541091805733,-0.0123945154209033,0.0127688592552693,9.52133268456078,-0.0986735071054916,0.0658815073533106,4.2085941763844,-0.0155985466025168,0.0175768295136951,0.582897293649128,-0.0275933518144278,0.0299966986016521,6094.76910392403,-72.506504201473,81.5093933277785,0.423206617529847,-0.0144881901092198,0.0165420002831012,91.0570821303446,-1.82912633220175,1.92846575989621,1796.20696570139,-1.82912633220175,1.92846575989621,,,,14.765773333333334,10.052007,273,1.0564451805222537,1.1133714087363638,2025.9605320868309,2026.6644776765063,205.96234818516967,1.1131370101046492,0.9565216038807026,1.0,274.0,274.0,0.1734,14.328013498141312,0.5077852282740716,1.0940731030098307,776.2111593087338,1469.0293620869188,0.04824243881088055,0.05967321718017501,5.841513315920402,17.10631010721263,36.857223759067345
310,219.00233,9.746515,HD128311,1.18e+18,71395.0,128311,349606708,61.2792,204.813,-250.457,7.180698,1.163843,-9.62,,,True,True,5002.81223206548,104.631013607036,4.46577277351066,0.0666885451069751,0.0934999999999997,0.130896181262344,0.0,0.0,0.640368930967212,0.14272626313085,3.09,0.0,0.0,0.0,,5.182,0.179,5.026,0.067,5.179,0.015,5.772,0.018,5.303,0.031,5.142,0.017,8.422,0.0,7.48,0.03,0.807203610046328,-0.0264418474233326,0.0177747947510823,0.745123177733508,-0.0058774813054322,0.0061169351602949,9.41579608289882,-0.548367387118002,0.389858378706156,4.5984097255915,-0.0175207686237568,0.0110835427106091,2.75324855312324,-0.116361027255383,0.0904436703336682,4959.3935734146,-54.0696976625641,55.0410589695421,-0.519688280047125,-0.0135131496965112,0.0138316269534085,196.997667975313,-3.97480202401809,3.11365162313339,4876.77286912357,-3.97480202401809,3.11365162313339,,,,14.600155333333332,9.746515,271,1.0584209215629787,1.1142893623339198,2025.9539530999343,2026.654609196162,203.7223002664391,1.1145388600556057,0.9620617556913708,1.0,306.0,306.0,0.1664,13.558153613666011,0.1699983539364668,0.2197930330037593,171.32431086442475,397.55949072681307,0.10012957874875184,0.1325633385512151,2.7156331225625197,2.774357937085191,3.587002647436814
